rent,bedrooms,sqft,latitude,longitude,date
2950.0,3.0,1500.0,37.886658000000004,-122.130096,2014-06-22
1700.0,1.0,550.0,37.49066,-122.23251299999998,2014-06-20
1900.0,2.0,1000.0,37.319927,-121.98436299999999,2014-06-17
2580.0,3.0,1280.0,37.671184999999994,-122.48350400000001,2014-06-22
1350.0,2.0,700.0,37.793339,-122.226748,2014-06-07
2800.0,3.0,1410.0,37.559616,-121.97265,2014-06-19
2371.0,1.0,700.0,37.339441,-121.996197,2014-06-27
3495.0,1.0,658.0,37.784673,-122.436874,2014-05-28
1750.0,,570.0,37.577863,-122.3528,2014-05-21
2255.0,2.0,976.0,37.7562,-121.9522,2014-07-05
2050.0,2.0,950.0,37.357941,-121.95396799999999,2014-07-01
1595.0,,,37.783165999999994,-122.418671,2014-05-28
2355.0,2.0,1057.0,37.77832,-121.983673,2014-06-07
2700.0,3.0,1600.0,38.582240999999996,-122.60047,2014-06-30
2500.0,3.0,1200.0,37.6787,-122.1295,2014-06-08
950.0,2.0,800.0,38.249272,-122.05609399999999,2014-05-18
1725.0,1.0,635.0,37.317924,-121.966268,2014-07-12
2565.0,1.0,748.0,37.534794,-122.27598700000001,2014-06-25
1575.0,1.0,500.0,37.816023,-122.243371,2014-07-10
2411.0,2.0,1095.0,37.36484,-121.912167,2014-05-14
2500.0,1.0,856.0,37.410227,-121.942672,2014-06-25
2336.0,1.0,793.0,37.511744,-122.30458200000001,2014-06-24
850.0,2.0,1001.0,38.0024,-121.3238,2014-06-12
1700.0,2.0,819.0,37.34644,-121.86026499999998,2014-07-10
1795.0,2.0,,37.269443,-121.93976699999999,2014-06-25
6800.0,4.0,2200.0,37.869399,-122.52974499999999,2014-06-08
1395.0,3.0,,38.009840999999994,-121.79881100000001,2014-06-14
1450.0,,,37.774192,-122.48968,2014-06-16
3850.0,2.0,,37.75940900000001,-122.444822,2014-05-29
3750.0,3.0,1600.0,37.742763000000004,-122.48220900000001,2014-07-09
4500.0,2.0,,37.805786,-122.44221,2014-06-30
2395.0,1.0,600.0,37.444846999999996,-122.15359199999999,2014-06-17
2400.0,2.0,,37.578052,-122.33688400000001,2014-06-18
2095.0,1.0,,37.861126,-122.26278,2014-07-10
1895.0,1.0,,37.778958,-122.50097,2014-05-30
1549.0,1.0,745.0,37.7706,-122.2648,2014-06-17
3374.0,1.0,562.0,37.780265,-122.40338700000001,2014-05-20
1350.0,1.0,,37.960983,-122.514468,2014-06-13
7250.0,2.0,2690.0,37.330206,-121.887548,2014-07-06
1265.0,2.0,874.0,38.00885200000001,-121.872353,2014-05-21
2155.0,2.0,809.0,37.662864,-121.86765700000001,2014-05-24
900.0,2.0,900.0,38.127805,-121.626034,2014-05-28
2950.0,3.0,1400.0,37.38914000000001,-121.99807,2014-06-19
2045.0,1.0,630.0,37.320842,-121.975669,2014-06-30
2300.0,1.0,687.0,37.38574000000001,-122.016671,2014-05-14
1925.0,,567.0,37.5395,-122.2998,2014-07-02
2885.0,2.0,988.0,37.313656,-121.97663100000001,2014-06-17
2035.0,1.0,708.0,37.701329,-121.872367,2014-06-18
2200.0,2.0,1233.0,37.2458,-121.8306,2014-06-19
1400.0,3.0,,37.93326500000001,-122.36769699999999,2014-05-19
1880.0,,400.0,37.79225200000001,-122.407513,2014-06-14
1350.0,2.0,,38.008721,-121.815867,2014-05-16
2133.0,1.0,,37.554496,-122.256475,2014-06-19
3310.0,2.0,786.0,37.87484600000001,-122.26908799999998,2014-06-14
2490.0,3.0,1200.0,37.654963,-122.43189699999999,2014-05-14
3400.0,1.0,,37.418,-122.1274,2014-06-27
2453.0,2.0,900.0,37.3483,-121.9844,2014-05-19
2428.0,2.0,1176.0,37.975327,-122.035275,2014-06-15
1600.0,,,37.753353000000004,-122.46449299999999,2014-06-18
1495.0,1.0,800.0,37.33736,-121.884229,2014-05-30
2503.0,2.0,1000.0,37.337745,-121.94053000000001,2014-05-16
3600.0,3.0,,37.597351,-122.385828,2014-06-20
2500.0,2.0,,36.951133,-121.869666,2014-06-20
3448.0,2.0,1490.0,37.329741,-121.88696599999999,2014-06-23
1675.0,2.0,950.0,37.696929,-122.11548300000001,2014-06-11
2382.0,1.0,920.0,37.316841,-121.91096599999999,2014-05-30
6200.0,3.0,1800.0,37.765626,-122.43419399999999,2014-06-24
2314.0,3.0,1156.0,38.416846,-122.70305900000001,2014-05-21
2045.0,1.0,,37.782485,-122.416513,2014-05-22
1850.0,1.0,750.0,37.811954,-122.254958,2014-07-03
1695.0,3.0,,38.03622100000001,-122.27078,2014-06-25
3500.0,1.0,,37.7864,-122.3892,2014-06-01
1700.0,2.0,1000.0,37.302448999999996,-121.92521200000002,2014-07-02
2452.0,2.0,1035.0,37.23387,-121.765542,2014-06-23
2650.0,1.0,799.0,37.7856,-122.4358,2014-05-15
7250.0,5.0,,37.784372,-122.44140300000001,2014-06-20
4300.0,2.0,,37.805986,-122.41913100000001,2014-06-23
2873.0,1.0,625.0,37.784978,-122.43561000000001,2014-06-02
1999.0,2.0,1200.0,38.480821999999996,-122.72651200000001,2014-06-18
2100.0,4.0,1927.0,38.124899,-122.214845,2014-06-09
1050.0,1.0,550.0,38.102071,-122.253097,2014-05-16
4800.0,3.0,1760.0,37.480715999999994,-122.27864699999999,2014-07-09
1833.0,,402.0,37.335440999999996,-121.887166,2014-05-16
2419.0,2.0,980.0,37.280021999999995,-121.95618600000002,2014-05-16
500.0,,,37.6586,-122.0472,2014-07-02
3800.0,2.0,,37.75940900000001,-122.444822,2014-06-13
750.0,1.0,,38.248129,-122.046251,2014-05-16
3000.0,4.0,1800.0,37.234103999999995,-121.810098,2014-06-19
2985.0,2.0,988.0,37.313229,-121.97675900000002,2014-07-07
2358.0,2.0,1030.0,37.257292,-121.863099,2014-06-19
1200.0,1.0,736.0,37.952222,-122.037773,2014-07-09
2950.0,3.0,,37.751715000000004,-122.47524299999999,2014-06-09
2385.0,1.0,,37.764965000000004,-122.422156,2014-05-19
5000.0,3.0,,37.759406,-122.48220800000001,2014-07-10
1095.0,1.0,570.0,37.933223,-121.70646399999998,2014-06-20
3350.0,,1250.0,37.871526,-122.29328000000001,2014-06-16
1350.0,1.0,590.0,37.88587800000001,-122.052173,2014-05-14
2950.0,2.0,1000.0,37.77792700000001,-122.462988,2014-06-27
2675.0,1.0,747.0,37.486812,-122.23240600000001,2014-06-11
1150.0,1.0,612.0,38.0013,-121.83286100000001,2014-06-21
7500.0,3.0,1854.0,37.805508,-122.40936,2014-05-16
2650.0,1.0,550.0,37.742084999999996,-122.41891399999999,2014-05-27
1600.0,4.0,1764.0,38.25018,-121.999816,2014-07-12
2950.0,3.0,1130.0,37.9479,-122.5363,2014-06-16
5200.0,3.0,,37.56786500000001,-122.333922,2014-05-21
1680.0,2.0,650.0,37.72858400000001,-122.401395,2014-06-12
1200.0,3.0,,38.116189,-122.25834499999999,2014-05-31
925.0,,,36.985649,-122.008673,2014-05-17
3720.0,1.0,875.0,37.3893,-122.0783,2014-06-28
1205.0,1.0,671.0,37.772172999999995,-121.921935,2014-06-02
3735.0,2.0,,37.790227,-122.408251,2014-06-15
850.0,2.0,1051.0,38.0024,-121.3238,2014-06-12
1916.0,,10.0,37.38964,-122.030771,2014-06-14
1950.0,1.0,600.0,37.34202,-122.034675,2014-05-31
2088.0,1.0,731.0,37.365934,-121.913026,2014-06-02
6400.0,3.0,1800.0,37.442838,-122.158675,2014-06-11
1165.0,,450.0,37.798204,-122.254958,2014-07-10
2925.0,2.0,,37.6247,-122.429,2014-06-25
1775.0,1.0,726.0,37.901224,-122.06644399999999,2014-05-13
3600.0,3.0,1650.0,37.848849,-122.15363500000001,2014-06-12
2995.0,2.0,1300.0,37.316233000000004,-122.072074,2014-07-06
3000.0,2.0,1120.0,37.32369,-122.01338799999999,2014-06-07
1295.0,1.0,,37.331539,-121.882775,2014-06-16
1597.0,,386.0,37.309134,-121.95049499999999,2014-06-11
1970.0,1.0,773.0,37.915323,-122.048973,2014-06-19
1808.0,1.0,761.0,37.2685,-121.849,2014-05-22
3500.0,2.0,1200.0,37.203738,-122.013645,2014-05-16
1895.0,2.0,,37.689811,-121.774055,2014-05-22
,,,37.7526,-121.77,2014-05-24
1675.0,1.0,527.0,37.550342,-121.99066,2014-06-27
2500.0,2.0,,37.996788,-122.527514,2014-07-10
3395.0,2.0,990.0,37.326378999999996,-122.05015900000001,2014-06-24
1999.0,2.0,1242.0,38.480806,-122.72679099999999,2014-06-28
2775.0,2.0,980.0,37.64873400000001,-122.48588500000001,2014-06-07
3000.0,3.0,,37.530636,-121.922169,2014-06-12
1295.0,2.0,791.0,38.001241,-121.830642,2014-06-21
